time,speed (km/u),travel time,Timeliness (%),weather_numeric,temperature
2021-03-23,52.7,398,94.0,5,11.0
2021-03-24,52.9,396,93.0,3,14.9
2021-03-25,52.2,402,91.0,3,7.5
2021-03-26,51.2,410,88.1,4,6.5
2021-03-27,54.7,383,91.3,3,10.7
2021-03-28,55.6,377,91.2,2,12.6
2021-03-29,50.5,415,94.5,6,5.0
2021-03-30,48.1,436,95.3,4,13.2
2021-03-31,45.8,458,97.0,4,7.9
2021-04-01,51.4,408,97.0,2,8.6
2021-04-02,48.9,428,94.0,6,6.7
2021-04-03,51.2,410,83.0,5,14.1
2021-04-04,50.1,418,66.0,6,7.9
2021-04-05,54.3,386,93.0,3,14.4
2021-04-06,52.2,401,91.0,4,5.9
2021-04-07,51.7,405,87.0,3,13.1
2021-04-08,52.0,403,84.0,4,8.6
2021-04-09,46.9,447,86.0,1,15.0
2021-04-10,46.6,450,81.0,2,6.6
2021-04-11,42.3,495,83.0,2,8.3
2021-04-12,51.6,406,79.0,3,5.7
2021-04-13,50.5,415,82.0,2,14.8
2021-04-14,48.4,433,82.0,3,11.2
2021-04-15,50.8,413,81.0,4,7.0
2021-04-16,40.0,524,87.0,2,9.7
2021-04-17,30.3,691,85.0,1,12.2
2021-04-18,32.6,644,84.0,3,5.1
2021-04-19,49.3,425,81.0,2,13.0
2021-04-20,38.5,545,81.0,3,8.1
2021-04-21,48.6,431,82.0,2,5.0
2021-04-22,48.7,430,84.0,3,5.1
2021-04-23,44.8,468,87.0,6,8.9
2021-04-24,43.0,488,86.0,1,10.2
2021-04-25,40.6,516,84.0,2,10.6
2021-04-26,40.9,513,86.0,4,13.4
2021-04-27,32.7,640,85.0,3,8.7
2021-04-28,41.9,500,81.0,5,11.0
2021-04-29,48.9,429,83.0,5,7.0
2021-04-30,46.4,447,85.0,2,9.7
2021-05-01,43.9,478,84.0,1,11.4
2021-05-02,45.9,456,81.0,1,13.5
2021-05-03,47.4,442,83.0,4,14.0
2021-05-04,51.6,406,80.0,1,11.3
2021-05-05,49.0,428,83.0,4,6.5
2021-05-06,48.5,432,84.0,1,12.9
2021-05-07,45.9,457,87.0,3,5.0
2021-05-08,49.3,425,81.0,4,9.9
2021-05-09,50.4,416,81.0,3,7.2
2021-05-10,49.4,424,82.0,3,12.4
2021-05-11,49.2,426,84.0,5,13.3
2021-05-12,42.3,495,87.0,5,10.6
2021-05-13,47.5,441,83.0,1,11.7
2021-05-14,47.6,440,85.0,2,13.0
2022-03-23,50.8,383,91.0,6,14.6
2022-03-24,47.6,408,93.0,4,9.3
2022-03-25,46.2,420,93.0,6,8.9
2022-03-26,33.9,573,90.0,2,14.8
2022-03-27,33.8,575,88.0,3,7.7
2022-03-28,47.5,408,91.0,1,11.3
2022-03-29,49.9,389,90.0,5,13.8
2022-03-30,48.9,397,91.0,5,9.7
2022-03-31,49.6,392,90.0,4,12.9
2022-04-01,51.3,378,90.0,4,9.7
2022-04-02,45.7,425,89.0,2,11.2
2022-04-03,51.2,379,88.0,4,6.3
2022-04-04,48.7,399,88.0,3,10.3
2022-04-05,49.4,393,90.0,2,12.8
2022-04-06,49.8,390,91.0,6,8.9
2022-04-07,49.1,396,91.0,3,13.5
2022-04-08,43.2,449,92.0,6,8.2
2022-04-09,42.4,458,89.0,4,9.4
2022-04-10,32.1,605,86.0,4,10.0
2022-04-11,33.6,579,90.0,5,6.9
2022-04-12,22.7,856,89.0,1,7.8
2022-04-13,29.7,655,89.0,6,7.5
2022-04-14,30.8,631,91.0,2,6.1
2022-04-15,27.7,701,90.0,3,13.7
2022-04-16,26.6,729,88.0,3,13.2
2022-04-17,24.3,801,84.0,1,12.7
2022-04-18,26.5,732,87.0,3,13.1
